ENL,ESL,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
174,,Undefined,Matthew Creese,BPP A,16,707,78.6,76,80,81,81,77,74,81,78,79
174,,Undefined,Matthieu Ostrander,Alaska B,16,707,78.6,77,77,78,80,78,81,78,82,76
174,19,Undefined,Miloš Marjanović,Belgrade C,14,707,78.6,78,82,80,78,76,76,77,84,76
174,19,Undefined,Noam Dahan,Tel Aviv B,17,707,78.6,80,84,78,77,78,74,72,85,79
174,,Undefined,Usman Tanveer Malik,DRUMS A,16,707,78.6,77,78,83,78,82,77,77,79,76
174,,Undefined,Chris Perkins,URDU A,16,707,78.6,76,76,78,78,83,79,78,78,81
174,,Undefined,Simonas Bartulis,YNC A,15,707,78.6,79,78,80,77,77,80,82,77,77
188,,Undefined,Jackie Li,Stanford E,15,706,78.4,79,75,76,84,80,76,74,80,82
188,,Undefined,Sarah Millman,Hart House B,15,706,78.4,80,80,75,77,76,81,76,81,80
188,,Undefined,Daniel Huang,McGill B,15,706,78.4,80,84,77,81,76,76,77,78,77
188,21,Undefined,Emma Lucas,LEIDEN A,18,706,78.4,80,77,79,80,76,80,76,79,79
188,,Undefined,Phillip Gracen,UQDS A,16,706,78.4,80,75,77,81,77,79,79,78,80
188,,Undefined,Allen Gu,UCL A,17,706,78.4,78,78,78,76,79,77,82,82,76
188,,Undefined,Liam Tomlinson,MAD C,15,706,78.4,76,77,78,78,80,78,78,84,77
188,,Undefined,Amy Gilbertson,MAD B,13,706,78.4,79,79,79,80,77,76,78,80,78
188,,Undefined,Nathan Chalk,BPP A,16,706,78.4,76,81,80,80,78,75,79,77,80
188,,Undefined,Niamh Egleston,TCD Phil B,15,706,78.4,80,78,76,80,80,80,79,76,77
188,21,Undefined,Sadaf MD Halim,IUT A,16,706,78.4,79,76,79,78,80,76,79,82,77
188,21,Undefined,Syed Razee,IUT A,16,706,78.4,79,76,78,77,81,76,80,83,76
200,24,Undefined,Ahmed Naufal,IIUM C,15,705,78.3,79,80,73,76,75,80,80,81,81
200,,Undefined,James Wink,UCT A,17,705,78.3,78,77,81,81,80,78,77,78,75
200,,Undefined,Bennett Saltzman,Bates C,16,705,78.3,77,77,76,80,78,79,79,80,79
200,,Undefined,Christopher Skliros,Melbourne C,17,705,78.3,75,77,77,76,80,79,80,81,80
200,,Undefined,Ryan Howson,UWODS A,17,705,78.3,75,78,78,80,77,79,82,78,78
200,,Undefined,Will Meyer,Swarthmore A,16,705,78.3,75,79,80,81,81,77,78,77,77
206,,Undefined,Georgia Chahoud,MQU A,15,704,78.2,78,79,78,76,79,78,80,80,76
206,,Undefined,Andrew Manton-Hall,UNSW B,15,704,78.2,81,78,79,80,77,79,76,80,74
206,25,Undefined,Shitab Daiyan Akash,IIUM C,15,704,78.2,79,79,72,76,77,80,78,82,81
206,,Undefined,Bharath Srivatsan,Princeton B,16,704,78.2,76,78,79,78,75,80,79,81,78
206,25,Undefined,Alon van Dam,RRIS A,15,704,78.2,77,81,76,78,75,79,78,81,79
206,25,Undefined,Calin Muresanu,BBU A,17,704,78.2,75,80,77,76,77,76,79,81,83
206,,Undefined,Abhisheka Dubey,NTU A,15,704,78.2,80,79,76,76,76,82,79,81,75
213,,Undefined,Lorna Staines,TCD Hist A,15,703,78.1,78,77,77,78,74,80,81,80,78
213,,Undefined,Jonah Goldberg,Brown B,14,703,78.1,76,76,76,83,77,81,77,80,77
213,,Undefined,Nathaniel Carlsen,Bard A,13,703,78.1,76,80,78,82,77,78,76,77,79
213,,Undefined,Jacob Shercliffe,Alaska B,16,703,78.1,76,77,77,79,77,82,79,80,76
213,,Undefined,Sarah Elton,Alaska A,17,703,78.1,78,77,74,76,78,82,80,78,80
213,,Undefined,Jainah J,UT MARA B,13,703,78.1,81,80,78,75,79,78,78,73,81
213,,Undefined,Adela Lilollari,Yale C,15,703,78.1,79,78,77,76,76,80,78,81,78
213,,Undefined,Quito Tsui,Stanford C,16,703,78.1,78,75,80,80,74,75,77,82,82
213,,Undefined,Cole Limbach,Bates B,14,703,78.1,77,78,79,81,78,80,79,77,74
213,28,Undefined,Stella Emada Bestio,BINUS A,16,703,78.1,80,78,73,81,77,78,76,85,75
223,,Undefined,Ben Levy,Hart House C,14,702,78,77,78,77,79,78,77,79,79,78
223,,Undefined,Matt Karkowski,Clemson B,16,702,78,77,77,81,75,79,75,80,78,80
223,,Undefined,Dan Roberts,St Andrews A,13,702,78,76,84,76,75,78,82,76,76,79
223,,Undefined,Conor White,UCD LawSoc B,15,702,78,76,81,77,77,76,78,77,78,82
223,,Undefined,Jeremy Chen,TDS A,16,702,78,78,77,76,77,77,78,79,79,81
223,29,Undefined,Jovan Petronijevic,PEP A,16,702,78,76,79,79,77,76,79,76,81,79
223,29,Undefined,Willem Chua,BINUS A,16,702,78,78,78,75,82,76,79,76,84,74
223,,Undefined,Dylan Desjardins,Bates C,16,702,78,79,75,76,77,77,79,79,82,78
231,31,Undefined,Roy Schulman,HUJI A,17,701,77.9,72,76,78,77,79,75,79,83,82
231,31,Undefined,Gigi Gil,LEIDEN A,18,701,77.9,78,77,80,78,75,78,77,80,78
231,,Undefined,Elliot Porter,GUU B,12,701,77.9,78,78,79,78,77,78,81,78,74
231,31,Undefined,Mihai Morar,BBU A,17,701,77.9,75,78,79,76,77,76,80,79,81
231,,Undefined,Zoe Morgan,AUDS A,13,701,77.9,79,81,79,77,74,78,78,81,74
231,,Undefined,Jameel Manji,E.D.S A,16,701,77.9,80,74,79,79,75,76,78,78,82
231,,Undefined,Michael Pusic,CDS A,12,701,77.9,77,81,77,78,77,77,79,77,78
238,,Undefined,Talia Teplinsky,RRIS A,15,700,77.8,77,80,75,78,76,79,77,81,77
238,,Undefined,Kendall Shepherd,UNSW A,15,700,77.8,76,80,75,78,77,82,79,76,77
238,,Undefined,Joshua Cahill,UWADU B,14,700,77.8,78,79,78,77,78,78,77,77,78
238,34,Undefined,Willem Wilken,USDV A,14,700,77.8,80,75,78,76,79,78,80,76,78
238,,Undefined,Thomas Wong,UQDS A,16,700,77.8,80,73,77,81,77,78,80,78,76
238,,Undefined,Aspen Wang,Princeton B,16,700,77.8,75,76,79,80,76,77,80,80,77
238,34,Undefined,Vinodhan Kuppusamy,Malaya A,15,700,77.8,82,77,80,76,77,77,79,77,75
238,,Undefined,Jun Ping Lim ,SMU A,16,700,77.8,77,78,80,77,76,75,77,78,82
238,,Undefined,Razzaq Fazail,LSE C,14,700,77.8,77,79,81,76,77,81,76,74,79
238,,Undefined,Alan Chan,UADS A,14,700,77.8,81,78,77,78,80,78,78,79,71
